Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,,6,350E-088,505489.32,5449697.36
Water Hydrant,6,116,6,350E-070,505604.9444,5449673.1835
Water Hydrant,6,114,6,350E-069,505637.8823,5449625.9882
Water Hydrant,6,114,6,350E-089,505535.68,5449642.39
Water Hydrant,6,112,6,350E-067,505688.03,5449578.39
Water Hydrant,6,116,6,350E-071,505746.8758,5449618.7272
Water Hydrant,6,116,6,350E-072,505820.798,5449600.1003
Water Hydrant,6,116,6,350E-073,505889.9891,5449593.3255
Water Hydrant,6,114,6,350E-076,506036.7799,5449578.9532
Water Hydrant,6,116,6,350E-075,505973.6094,5449585.1386
Water Hydrant,6,116,6,350E-054,506277.5604,5449694.3086
Water Hydrant,6,116,6,350E-078,506180.81,5449618.63
Water Hydrant,6,,6,350E-056,506232.06,5449671.91
Water Hydrant,6,114,6,350E-077,506116.21,5449570.98
Water Hydrant,6,110,6,350E-057,506275.8516,5449595.342
Water Hydrant,6,134,6,550-001,503047.61,5449780.49
Water Hydrant,6,116,6,550-005,503222.74,5449808.95
